Kode;Nama_bahan;Sumber;Air;ENERGI;PROTEIN;LEMAK;KH;SERAT;ABU;KALSIUM;FOSFOR;BESI;NATRIUM;KALIUM;TEMBAGA;SENG;RETINOL;B-KAR;KAR -TOTAL;THIAMIN;RIBOFLAVIN;NIASIN;VIT_C;BDD
AR001;beras giling mentah;KZGMI-2001;12;357;84;17;771;2;8;147;81;18;27;71;1;5;0;0;0;2;8;26;0;100
AR002;beras giling var pelita mentah;KZGPI- 1990;114;369;95;14;771;4;6;68;171;14;34;0;0;0;0;0;0;26;0;0;0;100
AR003;beras giling var rojolele mentah;KZGPI- 1990;12;357;84;17;771;2;8;147;81;18;34;1129;14;1;0;0;80;2;2;15;0;100
AR004;beras hitam mentah;KZGMI-2001;129;351;8;13;769;201;9;6;198;1;15;105;1;16;0;0;0;21;6;0;0;100
AR005;beras jagung kuning kering mentah;KZGMI-2001;108;358;55;1;827;10;9;20;90;14;1;80;1;41;0;641;0;12;8;1;3;100
AR006;beras jagung putih kering mentah;KZGMI-2001;225;307;48;1;718;10;8;17;78;12;1;70;1;35;0;301;0;15;7;9;0;100
AR007;beras ketan hitam tumbuk mentah;KZGPI- 1990;137;360;8;23;745;1;15;10;347;62;11;288;28;22;0;0;0;24;1;2;0;100
AR008;beras ketan putih tumbuk mentah;KZGPI- 1990;129;361;74;8;784;4;5;13;157;34;3;282;28;22;0;0;0;28;0;14;0;100
AR009;beras ladang mentah;KZGMI-2001;98;376;75;38;78;59;9;20;110;8;10;70;1;14;0;0;0;2;2;51;0;100
AR010;beras menir mentah;DABM-1964;12;362;77;44;73;2;2;22;272;37;90;201;1;5;0;0;0;55;0;19;0;100
AR011;beras parboiled;DABM-1964;10;353;68;6;80;5;25;5;142;8;2;46;28;1;0;0;0;22;11;34;0;100
AR012;beras tumbuk mentah;KZGMI-2001;115;354;78;4;799;38;4;3;112;6;5;85;5;15;0;0;0;25;22;51;0;100
AR013;beras tumbuk merah mentah;KZGPI- 1990;146;352;73;9;762;8;1;15;257;42;10;202;36;19;0;0;0;34;0;33;0;100
AR014;cantel mentah;DABM-1964;11;366;11;33;73;12;17;28;287;44;7;249;0;0;0;0;0;9;14;28;0;100
AR015;jagung muda kuning mentah;KZGPI- 1990;618;147;51;7;315;13;9;6;122;11;5;336;13;9;0;113;261;24;1;8;9;100
AR016;jagung kuning pipil kering mentah;KZGPI- 1990;115;366;98;73;691;22;24;30;538;23;5;794;1;41;0;636;641;12;12;18;3;100
AR017;jagung pipil var harapan kering;KZGPI- 1990;113;367;62;51;762;26;12;7;354;28;1;796;1;41;0;637;385;19;8;1;0;100
AR018;jagung pipil var metro kering;KZGPI- 1990;106;368;55;46;78;29;13;7;300;24;1;802;1;41;0;642;554;16;8;1;0;100
AR019;jali mentah;DABM-1964;23;324;11;4;61;3.1;1;213;176;11.0;24;0;0.1;0.4;0;0;0;0.14;0.08;1.8;0;90
